id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass
Auto_1548,1273.25,674.48,1273.26,674.45,143.10906,44.14158,09h32m26.17s,+44d08m29.7s,74.0,797.000,1136.407,188.126,6.04,-7.639,0.180,16.058,0.212,1.1095
Auto_1549,2222.76,1613.30,2222.79,1613.31,143.80721,44.03785,09h35m13.73s,+44d02m16.2s,78.0,795.000,1142.596,188.332,6.07,-7.645,0.179,16.052,0.211,1.1095
Auto_1550,455.78,1985.27,455.80,1985.27,143.12799,43.54912,09h32m30.72s,+43d32m56.8s,98.0,795.000,947.281,188.007,5.04,-7.441,0.215,16.255,0.243,1.1095
Auto_1551,3256.22,2626.35,3256.47,2626.38,144.56346,43.92285,09h38m15.23s,+43d55m22.3s,66.0,794.000,1082.992,187.942,5.76,-7.587,0.188,16.110,0.219,1.1095
Auto_1552,1212.40,2066.96,1212.35,2066.96,143.48668,43.68099,09h33m56.80s,+43d40m51.6s,92.0,792.000,1083.726,187.885,5.77,-7.587,0.188,16.109,0.219,1.1095
Auto_1553,748.30,3298.62,748.40,3298.63,143.63529,43.18807,09h34m32.47s,+43d11m17.0s,82.0,791.000,1068.022,188.732,5.66,-7.571,0.192,16.125,0.222,1.1095
Auto_1554,4804.35,511.51,4804.56,511.51,144.66154,44.92642,09h38m38.77s,+44d55m35.1s,72.0,791.000,989.924,188.357,5.26,-7.489,0.207,16.207,0.235,1.1095
Auto_1555,94.55,2721.93,94.57,2721.96,143.18215,43.23742,09h32m43.72s,+43d14m14.7s,97.0,790.000,1110.783,188.864,5.88,-7.614,0.185,16.082,0.216,1.1095
Auto_1556,5180.55,4164.91,5180.62,4164.91,145.86362,43.81035,09h43m27.27s,+43d48m37.2s,61.0,790.000,895.928,190.182,4.71,-7.381,0.230,16.316,0.256,1.1095
Auto_1557,678.54,3288.22,678.54,3288.34,143.60156,43.17697,09h34m24.37s,+43d10m37.1s,85.0,790.000,1087.938,187.852,5.79,-7.592,0.187,16.105,0.219,1.1095
Auto_1558,4711.09,3239.65,4711.16,3239.70,145.39492,44.01875,09h41m34.78s,+44d01m07.5s,67.0,789.000,780.348,189.384,4.12,-7.231,0.263,16.466,0.286,1.1095
Auto_1559,5230.37,3507.88,5230.54,3507.93,145.70504,44.03532,09h42m49.21s,+44d02m07.1s,65.0,788.000,840.876,189.342,4.44,-7.312,0.244,16.385,0.269,1.1095
Auto_1560,1563.91,487.14,1563.93,487.11,143.18418,44.26287,09h32m44.20s,+44d15m46.3s,98.0,786.000,1008.565,188.137,5.36,-7.509,0.203,16.187,0.232,1.1095
Auto_1561,5586.98,693.20,5587.15,693.21,145.07313,45.02574,09h40m17.55s,+45d01m32.7s,69.0,786.000,840.691,188.884,4.45,-7.312,0.244,16.385,0.269,1.1095
Auto_1562,201.76,1606.89,201.78,1606.88,142.90621,43.61714,09h31m37.49s,+43d37m01.7s,106.0,786.000,1087.324,188.376,5.77,-7.591,0.188,16.106,0.219,1.1095
Auto_1563,4862.53,2476.99,4862.68,2477.00,145.24960,44.29846,09h40m59.90s,+44d17m54.4s,59.0,785.000,859.662,188.753,4.55,-7.336,0.238,16.361,0.264,1.1095
Auto_1564,5003.50,3623.61,5003.72,3623.66,145.63428,43.95200,09h42m32.23s,+43d57m07.2s,53.0,784.000,812.642,188.938,4.30,-7.275,0.252,16.422,0.276,1.1095
Auto_1565,5449.77,283.05,5449.82,282.87,144.89195,45.13116,09h39m34.07s,+45d07m52.2s,71.0,783.000,1008.855,189.655,5.32,-7.510,0.204,16.187,0.233,1.1095
Auto_1566,3684.70,480.42,3684.76,480.38,144.14066,44.70709,09h36m33.76s,+44d42m25.5s,69.0,783.000,1049.574,187.707,5.59,-7.553,0.194,16.144,0.224,1.1095
Auto_1567,2379.43,2041.45,2379.51,2041.53,144.00110,43.93188,09h36m00.26s,+43d55m54.8s,76.0,782.000,1150.157,187.354,6.14,-7.652,0.177,16.045,0.210,1.1095
Auto_1568,4314.10,3596.30,4314.07,3596.44,145.31473,43.82216,09h41m15.53s,+43d49m19.8s,61.0,781.000,959.596,188.776,5.08,-7.455,0.214,16.241,0.241,1.1095
Auto_1569,463.42,1299.58,463.38,1299.57,142.93205,43.77062,09h31m43.69s,+43d46m14.2s,88.0,781.000,1116.792,187.574,5.95,-7.620,0.182,16.076,0.214,1.1095
Auto_1570,1963.97,1544.22,1964.00,1544.22,143.67106,44.00628,09h34m41.05s,+44d00m22.6s,83.0,779.000,1090.028,188.595,5.78,-7.594,0.188,16.103,0.219,1.1095
Auto_1571,4966.59,3423.62,4966.85,3423.71,145.56204,44.01001,09h42m14.89s,+44d00m36.0s,69.0,779.000,930.314,189.420,4.91,-7.422,0.221,16.275,0.248,1.1095
