id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass,is_variable
Auto_013,766.90,2908.96,766.89,2908.95,143.54244,43.32155,09h34m10.19s,+43d19m17.6s,29853.0,210325.000,239062.242,463.036,516.29,-13.446,0.002,10.236,0.038,1.0554,No
Auto_014,3424.16,2834.21,3424.18,2834.24,144.70876,43.89314,09h38m50.10s,+43d53m35.3s,31635.0,207791.000,237375.765,460.956,514.96,-13.439,0.002,10.243,0.038,1.0554,No
Auto_015,2338.85,2154.79,2338.83,2154.77,144.02625,43.89059,09h36m06.30s,+43d53m26.1s,27081.0,165665.000,184973.907,412.544,448.37,-13.168,0.002,10.514,0.038,1.0554,No
Auto_016,1086.83,2906.58,1086.79,2906.59,143.68325,43.38861,09h34m43.98s,+43d23m19.0s,22313.0,162209.000,184445.282,412.152,447.52,-13.165,0.002,10.517,0.038,1.0554,No
Auto_017,2041.44,2632.14,2041.44,2632.18,144.02971,43.67466,09h36m07.13s,+43d40m28.8s,22394.0,149816.000,168814.988,396.094,426.20,-13.069,0.003,10.613,0.038,1.0554,No
Auto_018,5586.49,1636.80,5586.50,1636.80,145.35301,44.72115,09h41m24.72s,+44d43m16.1s,17785.0,140767.000,173628.437,404.850,428.87,-13.099,0.003,10.583,0.038,1.0554,No
Auto_019,3808.33,3153.47,3808.29,3153.56,144.97234,43.86745,09h39m53.36s,+43d52m02.8s,17736.0,140155.000,161047.568,389.070,413.93,-13.017,0.003,10.664,0.038,1.0554,No
Auto_020,1704.17,3838.14,1704.19,3838.15,144.22216,43.21543,09h36m53.32s,+43d12m55.5s,20389.0,138128.000,156767.850,384.776,407.43,-12.988,0.003,10.694,0.038,1.0554,No
Auto_021,3122.79,3441.92,3122.79,3441.91,144.74452,43.63404,09h38m58.69s,+43d38m02.5s,21113.0,134799.000,151916.621,380.031,399.75,-12.954,0.003,10.728,0.038,1.0554,No
Auto_022,1701.83,2053.56,1701.80,2053.57,143.71182,43.79127,09h34m50.84s,+43d47m28.6s,18996.0,127942.000,144195.309,371.488,388.16,-12.897,0.003,10.784,0.038,1.0554,No
Auto_023,2195.28,2129.58,2195.33,2129.55,143.95458,43.86905,09h35m49.10s,+43d52m08.6s,17082.0,124379.000,140748.320,365.941,384.62,-12.871,0.003,10.811,0.038,1.0554,No
Auto_024,878.95,306.03,878.94,306.04,142.83732,44.18067,09h31m20.96s,+44d10m50.4s,14249.0,122236.000,144529.282,376.827,383.54,-12.900,0.003,10.782,0.038,1.0554,No
Auto_025,5638.70,2195.44,5638.70,2195.49,145.53460,44.54918,09h42m08.31s,+44d32m57.0s,12721.0,118908.000,142223.439,371.129,383.22,-12.882,0.003,10.799,0.038,1.0554,No
Auto_026,2910.22,2510.14,2910.23,2510.16,144.38491,43.89318,09h37m32.38s,+43d53m35.4s,19728.0,117656.000,132633.125,357.689,370.81,-12.807,0.003,10.875,0.038,1.0554,No
Auto_027,3946.09,19.09,3946.12,19.08,144.13726,44.91313,09h36m32.94s,+44d54m47.3s,14874.0,116505.000,136850.217,364.351,375.60,-12.841,0.003,10.841,0.038,1.0554,No
