id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err,airmass,is_variable
Auto_121,488.09,1047.76,488.07,1047.78,142.88085,43.86084,09h31m31.40s,+43d51m39.0s,2384.0,19901.000,23471.290,200.958,116.80,-10.926,0.009,12.756,0.039,1.0554,No
Auto_122,2880.88,2334.70,2880.84,2334.70,144.32163,43.94408,09h37m17.19s,+43d56m38.7s,3223.0,19591.000,21841.254,195.594,111.67,-10.848,0.010,12.834,0.039,1.0554,Yes
Auto_123,6114.36,116.87,6114.52,116.79,145.16125,45.32069,09h40m38.70s,+45d19m14.5s,2085.0,19516.000,25656.726,206.205,124.42,-11.023,0.009,12.659,0.039,1.0554,No
Auto_124,2018.30,908.31,2018.32,908.34,143.52212,44.22657,09h34m05.31s,+44d13m35.7s,2532.0,19034.000,21807.819,197.301,110.53,-10.847,0.010,12.835,0.039,1.0554,No
Auto_125,4495.95,3158.09,4495.95,3158.11,145.28476,44.00515,09h41m08.34s,+44d00m18.6s,2734.0,18747.000,21864.812,196.038,111.53,-10.849,0.010,12.832,0.039,1.0554,No
Auto_126,908.21,3412.86,908.21,3412.87,143.74892,43.18872,09h34m59.74s,+43d11m19.4s,2395.0,18501.000,20977.288,196.762,106.61,-10.804,0.010,12.877,0.039,1.0554,No
Auto_127,5177.43,1878.35,5177.46,1878.36,145.23445,44.56026,09h40m56.27s,+44d33m37.0s,2248.0,18460.000,22583.408,201.200,112.24,-10.884,0.010,12.797,0.039,1.0554,Yes
Auto_128,2763.81,2714.98,2763.81,2714.97,144.37736,43.79662,09h37m30.57s,+43d47m47.8s,2998.0,18438.000,20270.992,193.947,104.52,-10.767,0.010,12.915,0.039,1.0554,No
Auto_129,596.84,1438.22,596.85,1438.21,143.04257,43.75856,09h32m10.22s,+43d45m30.8s,2280.0,18177.000,21043.993,193.765,108.61,-10.808,0.010,12.874,0.039,1.0554,No
Auto_130,3818.26,400.21,3818.28,400.21,144.18964,44.76382,09h36m45.51s,+44d45m49.7s,2382.0,18164.000,21363.706,196.173,108.90,-10.824,0.010,12.858,0.039,1.0554,No
Auto_131,5056.57,3610.19,5056.59,3610.27,145.66451,43.97007,09h42m39.48s,+43d58m12.3s,2502.0,18099.000,22459.589,200.074,112.26,-10.879,0.010,12.803,0.039,1.0554,Yes
